#,"Date Time, GMT-04:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
16,9/3/2025 23:00,33.521,,,,,
,,,,,,,
17,9/4/2025 0:00,32.924,,,,,
,,,,,,,
18,9/4/2025 1:00,32.381,,,,,
,,,,,,,
19,9/4/2025 2:00,31.893,,,,,
,,,,,,,
20,9/4/2025 3:00,31.433,,,,,
,,,,,,,
21,9/4/2025 4:00,30.976,,,,,
,,,,,,,
22,9/4/2025 5:00,30.571,,,,,
,,,,,,,
23,9/4/2025 6:00,30.217,,,,,
,,,,,,,
24,9/4/2025 7:00,29.916,,,,,
,,,,,,,
25,9/4/2025 8:00,29.715,,,,,
,,,,,,,
26,9/4/2025 9:00,29.64,,,,,
,,,,,,,
27,9/4/2025 10:00,29.715,,,,,
,,,,,,,
28,9/4/2025 11:00,29.941,,,,,
,,,,,,,
29,9/4/2025 12:00,30.394,,,,,
,,,,,,,
30,9/4/2025 13:00,31.103,,,,,
,,,,,,,
31,9/4/2025 14:00,32.278,,,,,
,,,,,,,
32,9/4/2025 15:00,33.365,,,,,
,,,,,,,
33,9/4/2025 16:00,34.836,,,,,
,,,,,,,
34,9/4/2025 17:00,36.065,,,,,
,,,,,,,
35,9/4/2025 18:00,35.904,,,,,
,,,,,,,
36,9/4/2025 19:00,33.417,,,,,
,,,,,,,
37,9/4/2025 20:00,32.768,,,,,
,,,,,,,
38,9/4/2025 21:00,32.201,,,,,
,,,,,,,
39,9/4/2025 22:00,31.689,,,,,
,,,,,,,
40,9/4/2025 23:00,31.281,,,,,
,,,,,,,
41,9/5/2025 0:00,30.849,,,,,
,,,,,,,
42,9/5/2025 1:00,30.469,,,,,
,,,,,,,
43,9/5/2025 2:00,30.091,,,,,
,,,,,,,
44,9/5/2025 3:00,29.765,,,,,
,,,,,,,
45,9/5/2025 4:00,29.464,,,,,
,,,,,,,
46,9/5/2025 5:00,29.165,,,,,
,,,,,,,
47,9/5/2025 6:00,28.891,,,,,
,,,,,,,
48,9/5/2025 7:00,28.692,,,,,
,,,,,,,
49,9/5/2025 8:00,28.941,,,,,
,,,,,,,
50,9/5/2025 9:00,28.916,,,,,
,,,,,,,
51,9/5/2025 10:00,29.04,,,,,
,,,,,,,
52,9/5/2025 11:00,29.265,,,,,
,,,,,,,
53,9/5/2025 12:00,29.74,,,,,
,,,,,,,
54,9/5/2025 13:00,30.142,,,,,
,,,,,,,
55,9/5/2025 14:00,30.596,,,,,
,,,,,,,
56,9/5/2025 15:00,31.103,,,,,
,,,,,,,
57,9/5/2025 16:00,31.535,,,,,
,,,,,,,
58,9/5/2025 17:00,31.714,,,,,
,,,,,,,
59,9/5/2025 18:00,31.51,,,,,
,,,,,,,
60,9/5/2025 19:00,31.052,,,,,
,,,,,,,
61,9/5/2025 20:00,30.621,,,,,
,,,,,,,
62,9/5/2025 21:00,30.217,,,,,
,,,,,,,
63,9/5/2025 22:00,29.916,,,,,
,,,,,,,
64,9/5/2025 23:00,29.64,,,,,
,,,,,,,
